Cusomer_Id,Channel,Distance_from_Store,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Gender
240,1,more than 2 Km,47493,2567,3779,5243,828,2253,M
241,1,more than 2 Km,22096,3575,7041,11422,343,2564,M
242,1,more than 2 Km,24929,1801,2475,2216,412,1047,F
243,1,more than 2 Km,18226,659,2914,3752,586,578,M
244,1,more than 2 Km,11210,3576,5119,561,1682,2398,M
245,1,more than 2 Km,6202,7775,10817,1183,3143,1970,M
246,2,more than 2 Km,3062,6154,13916,230,8933,2784,F
247,1,more than 2 Km,8885,2428,1777,1777,430,610,M
248,1,more than 2 Km,13569,346,489,2077,44,659,M
249,1,more than 2 Km,15671,5279,2406,559,562,572,F
250,1,more than 2 Km,8040,3795,2070,6340,918,291,M
251,1,more than 2 Km,3191,1993,1799,1730,234,710,M
252,2,more than 2 Km,6134,23133,33586,6746,18594,5121,F
253,1,more than 2 Km,6623,1860,4740,7683,205,1693,M
254,1,more than 2 Km,29526,7961,16966,432,363,1391,M
255,1,more than 2 Km,10379,17972,4748,4686,1547,3265,F
256,1,more than 2 Km,31614,489,1495,3242,111,615,M
257,1,more than 2 Km,11092,5008,5249,453,392,373,M
258,1,more than 2 Km,8475,1931,1883,5004,3593,987,M
259,1,more than 2 Km,56083,4563,2124,6422,730,3321,F
260,1,more than 2 Km,53205,4959,7336,3012,967,818,M
261,1,more than 2 Km,9193,4885,2157,327,780,548,M
262,1,more than 2 Km,7858,1110,1094,6818,49,287,F
263,1,more than 2 Km,23257,1372,1677,982,429,655,M
264,1,more than 2 Km,2153,1115,6684,4324,2894,411,M
265,2,more than 2 Km,1073,9679,15445,61,5980,1265,M
266,1,more than 2 Km,5909,23527,13699,10155,830,3636,F
267,2,more than 2 Km,572,9763,22182,2221,4882,2563,M
268,1,more than 2 Km,20893,1222,2576,3975,737,3628,M
269,2,more than 2 Km,11908,8053,19847,1069,6374,698,F
270,1,more than 2 Km,15218,258,1138,2516,333,204,M
271,1,more than 2 Km,4720,1032,975,5500,197,56,M
272,1,more than 2 Km,2083,5007,1563,1120,147,1550,M
273,1,more than 2 Km,514,8323,6869,529,93,1040,F
274,1,less than 2 Km,36817,3045,1493,4802,210,1824,M
275,1,less than 2 Km,894,1703,1841,744,759,1153,M
276,1,less than 2 Km,680,1610,223,862,96,379,F
277,1,less than 2 Km,27901,3749,6964,4479,603,2503,M
278,1,less than 2 Km,9061,829,683,16919,621,139,M
279,1,less than 2 Km,11693,2317,2543,5845,274,1409,M
280,2,less than 2 Km,17360,6200,9694,1293,3620,1721,F
281,1,less than 2 Km,3366,2884,2431,977,167,1104,M
282,2,less than 2 Km,12238,7108,6235,1093,2328,2079,M
283,1,less than 2 Km,49063,3965,4252,5970,1041,1404,F
284,1,less than 2 Km,25767,3613,2013,10303,314,1384,M
285,1,less than 2 Km,68951,4411,12609,8692,751,2406,M
286,1,less than 2 Km,40254,640,3600,1042,436,18,F
287,1,less than 2 Km,7149,2247,1242,1619,1226,128,M
288,1,less than 2 Km,15354,2102,2828,8366,386,1027,M
289,1,less than 2 Km,16260,594,1296,848,445,258,F
290,1,less than 2 Km,42786,286,471,1388,32,22,M
291,1,less than 2 Km,2708,2160,2642,502,965,1522,M
292,1,less than 2 Km,6022,3354,3261,2507,212,686,M
293,1,less than 2 Km,2838,3086,4329,3838,825,1060,F
294,2,less than 2 Km,3996,11103,12469,902,5952,741,M
295,1,less than 2 Km,21273,2013,6550,909,811,1854,M
296,2,less than 2 Km,7588,1897,5234,417,2208,254,F
297,1,less than 2 Km,19087,1304,3643,3045,710,898,M
298,2,less than 2 Km,8090,3199,6986,1455,3712,531,M
299,2,less than 2 Km,6758,4560,9965,934,4538,1037,M
300,1,less than 2 Km,444,879,2060,264,290,259,F
301,2,less than 2 Km,16448,6243,6360,824,2662,2005,M
302,2,less than 2 Km,5283,13316,20399,1809,8752,172,M
303,2,less than 2 Km,2886,5302,9785,364,6236,555,F
304,2,less than 2 Km,2599,3688,13829,492,10069,59,M
305,2,less than 2 Km,161,7460,24773,617,11783,2410,M
306,2,less than 2 Km,243,12939,8852,799,3909,211,M
307,2,less than 2 Km,6468,12867,21570,1840,7558,1543,F
308,1,less than 2 Km,17327,2374,2842,1149,351,925,M
309,1,less than 2 Km,6987,1020,3007,416,257,656,M
310,2,less than 2 Km,918,20655,13567,1465,6846,806,F
311,1,less than 2 Km,7034,1492,2405,12569,299,1117,M
312,1,less than 2 Km,29635,2335,8280,3046,371,117,M
313,2,less than 2 Km,2137,3737,19172,1274,17120,142,M
314,1,less than 2 Km,9784,925,2405,4447,183,297,F
315,1,less than 2 Km,10617,1795,7647,1483,857,1233,M
316,2,less than 2 Km,1479,14982,11924,662,3891,3508,M
317,1,less than 2 Km,7127,1375,2201,2679,83,1059,F
318,1,less than 2 Km,1182,3088,6114,978,821,1637,M
319,1,less than 2 Km,11800,2713,3558,2121,706,51,M
320,2,less than 2 Km,9759,25071,17645,1128,12408,1625,M
321,1,less than 2 Km,1774,3696,2280,514,275,834,M
322,1,less than 2 Km,9155,1897,5167,2714,228,1113,F
323,1,less than 2 Km,15881,713,3315,3703,1470,229,M
324,1,less than 2 Km,13360,944,11593,915,1679,573,M
325,1,less than 2 Km,25977,3587,2464,2369,140,1092,F
326,1,less than 2 Km,32717,16784,13626,60869,1272,5609,M
327,1,less than 2 Km,4414,1610,1431,3498,387,834,M
328,1,less than 2 Km,542,899,1664,414,88,522,M
329,1,less than 2 Km,16933,2209,3389,7849,210,1534,F
330,1,less than 2 Km,5113,1486,4583,5127,492,739,M
331,1,less than 2 Km,9790,1786,5109,3570,182,1043,M
332,2,less than 2 Km,11223,14881,26839,1234,9606,1102,F
333,1,less than 2 Km,22321,3216,1447,2208,178,2602,M
334,2,less than 2 Km,8565,4980,67298,131,38102,1215,M
335,2,less than 2 Km,16823,928,2743,11559,332,3486,M
336,2,less than 2 Km,27082,6817,10790,1365,4111,2139,F
337,1,less than 2 Km,13970,1511,1330,650,146,778,M
338,1,less than 2 Km,9351,1347,2611,8170,442,868,M
339,1,less than 2 Km,3,333,7021,15601,15,550,F
340,1,less than 2 Km,2617,1188,5332,9584,573,1942,M
341,2,less than 2 Km,381,4025,9670,388,7271,1371,M
342,2,less than 2 Km,2320,5763,11238,767,5162,2158,M
343,1,less than 2 Km,255,5758,5923,349,4595,1328,F
344,2,less than 2 Km,1689,6964,26316,1456,15469,37,M
345,1,less than 2 Km,3043,1172,1763,2234,217,379,M
346,1,less than 2 Km,1198,2602,8335,402,3843,303,F
347,2,less than 2 Km,2771,6939,15541,2693,6600,1115,M
348,2,less than 2 Km,27380,7184,12311,2809,4621,1022,M
349,1,less than 2 Km,3428,2380,2028,1341,1184,665,M
350,2,less than 2 Km,5981,14641,20521,2005,12218,445,F
351,1,less than 2 Km,3521,1099,1997,1796,173,995,M
352,2,less than 2 Km,1210,10044,22294,1741,12638,3137,M
353,1,less than 2 Km,608,1106,1533,830,90,195,F
354,2,less than 2 Km,117,6264,21203,228,8682,1111,M
355,1,less than 2 Km,14039,7393,2548,6386,1333,2341,M
356,1,less than 2 Km,190,727,2012,245,184,127,F
357,1,less than 2 Km,22686,134,218,3157,9,548,M
358,2,less than 2 Km,37,1275,22272,137,6747,110,M
359,1,less than 2 Km,759,18664,1660,6114,536,4100,F
360,1,less than 2 Km,796,5878,2109,340,232,776,M
361,1,less than 2 Km,19746,2872,2006,2601,468,503,M
362,1,less than 2 Km,4734,607,864,1206,159,405,M
363,1,less than 2 Km,2121,1601,2453,560,179,712,F
364,1,less than 2 Km,4627,997,4438,191,1335,314,M
365,1,less than 2 Km,2615,873,1524,1103,514,468,M
366,2,less than 2 Km,4692,6128,8025,1619,4515,3105,F
367,1,less than 2 Km,9561,2217,1664,1173,222,447,M
368,1,less than 2 Km,3477,894,534,1457,252,342,M
369,1,less than 2 Km,22335,1196,2406,2046,101,558,M
370,1,less than 2 Km,6211,337,683,1089,41,296,F
371,2,less than 2 Km,39679,3944,4955,1364,523,2235,M
372,1,less than 2 Km,20105,1887,1939,8164,716,790,M
373,1,less than 2 Km,3884,3801,1641,876,397,4829,F
374,2,less than 2 Km,15076,6257,7398,1504,1916,3113,M
375,1,less than 2 Km,6338,2256,1668,1492,311,686,M
376,1,less than 2 Km,5841,1450,1162,597,476,70,M
377,2,less than 2 Km,3136,8630,13586,5641,4666,1426,F
378,1,less than 2 Km,38793,3154,2648,1034,96,1242,M
379,1,less than 2 Km,3225,3294,1902,282,68,1114,M
380,2,less than 2 Km,4048,5164,10391,130,813,179,F
381,1,less than 2 Km,28257,944,2146,3881,600,270,M
382,1,less than 2 Km,17770,4591,1617,9927,246,532,M
383,1,less than 2 Km,34454,7435,8469,2540,1711,2893,M
384,1,less than 2 Km,1821,1364,3450,4006,397,361,F
385,1,less than 2 Km,10683,21858,15400,3635,282,5120,M
386,1,less than 2 Km,11635,922,1614,2583,192,1068,M
387,1,less than 2 Km,1206,3620,2857,1945,353,967,F
388,1,less than 2 Km,20918,1916,1573,1960,231,961,M
389,1,less than 2 Km,9785,848,1172,1677,200,406,M
390,1,less than 2 Km,9385,1530,1422,3019,227,684,F
391,1,less than 2 Km,3352,1181,1328,5502,311,1000,M
392,1,less than 2 Km,2647,2761,2313,907,95,1827,M
393,1,less than 2 Km,518,4180,3600,659,122,654,F
394,1,less than 2 Km,23632,6730,3842,8620,385,819,M
395,1,less than 2 Km,12377,865,3204,1398,149,452,M
396,1,less than 2 Km,9602,1316,1263,2921,841,290,M
397,2,less than 2 Km,4515,11991,9345,2644,3378,2213,F
398,1,less than 2 Km,11535,1666,1428,6838,64,743,M
399,1,less than 2 Km,11442,1032,582,5390,74,247,M
400,1,less than 2 Km,9612,577,935,1601,469,375,F
401,1,less than 2 Km,4446,906,1238,3576,153,1014,M
402,1,less than 2 Km,27167,2801,2128,13223,92,1902,M
403,1,less than 2 Km,26539,4753,5091,220,10,340,M
404,1,less than 2 Km,25606,11006,4604,127,632,288,F
405,1,less than 2 Km,18073,4613,3444,4324,914,715,M
406,1,less than 2 Km,6884,1046,1167,2069,593,378,M
407,1,less than 2 Km,25066,5010,5026,9806,1092,960,F
408,2,less than 2 Km,7362,12844,18683,2854,7883,553,M
409,2,less than 2 Km,8257,3880,6407,1646,2730,344,M
410,1,less than 2 Km,8708,3634,6100,2349,2123,5137,M
411,1,less than 2 Km,6633,2096,4563,1389,1860,1892,F
412,1,less than 2 Km,2126,3289,3281,1535,235,4365,M
413,1,less than 2 Km,97,3605,12400,98,2970,62,M
414,1,less than 2 Km,4983,4859,6633,17866,912,2435,F
415,1,less than 2 Km,5969,1990,3417,5679,1135,290,M
416,2,less than 2 Km,7842,6046,8552,1691,3540,1874,M
417,2,less than 2 Km,4389,10940,10908,848,6728,993,M
418,1,less than 2 Km,5065,5499,11055,364,3485,1063,F
419,2,less than 2 Km,660,8494,18622,133,6740,776,M
420,1,less than 2 Km,8861,3783,2223,633,1580,1521,M
421,1,less than 2 Km,4456,5266,13227,25,6818,1393,F
422,2,less than 2 Km,17063,4847,9053,1031,3415,1784,M
423,1,less than 2 Km,26400,1377,4172,830,948,1218,M
424,2,less than 2 Km,17565,3686,4657,1059,1803,668,F
425,2,less than 2 Km,16980,2884,12232,874,3213,249,M
426,1,less than 2 Km,11243,2408,2593,15348,108,1886,M
427,1,less than 2 Km,13134,9347,14316,3141,5079,1894,F
428,1,less than 2 Km,31012,16687,5429,15082,439,1163,M
429,1,less than 2 Km,3047,5970,4910,2198,850,317,M
430,1,less than 2 Km,8607,1750,3580,47,84,2501,M
431,1,less than 2 Km,3097,4230,16483,575,241,2080,F
432,1,less than 2 Km,8533,5506,5160,13486,1377,1498,M
433,1,less than 2 Km,21117,1162,4754,269,1328,395,M
434,1,less than 2 Km,1982,3218,1493,1541,356,1449,F
435,1,less than 2 Km,16731,3922,7994,688,2371,838,M
436,1,less than 2 Km,29703,12051,16027,13135,182,2204,M
437,1,less than 2 Km,39228,1431,764,4510,93,2346,M
438,2,less than 2 Km,14531,15488,30243,437,14841,1867,F
439,1,less than 2 Km,10290,1981,2232,1038,168,2125,M
440,1,less than 2 Km,2787,1698,2510,65,477,52,M
441,1,less than 2 Km,27167,2801,2128,13223,92,1902,M
442,1,less than 2 Km,26539,4753,5091,220,10,340,M
443,1,less than 2 Km,25606,11006,4604,127,632,288,F
444,1,less than 2 Km,18073,4613,3444,4324,914,715,M
445,1,less than 2 Km,6884,1046,1167,2069,593,378,M
446,1,less than 2 Km,25066,5010,5026,9806,1092,960,F
447,2,less than 2 Km,7362,12844,18683,2854,7883,553,M
448,2,less than 2 Km,8257,3880,6407,1646,2730,344,M
449,1,less than 2 Km,8708,3634,6100,2349,2123,5137,M
450,1,less than 2 Km,6633,2096,4563,1389,1860,1892,F
451,1,less than 2 Km,2126,3289,3281,1535,235,4365,M
452,1,less than 2 Km,97,3605,12400,98,2970,62,M
453,1,less than 2 Km,4983,4859,6633,17866,912,2435,F
454,1,less than 2 Km,5969,1990,3417,5679,1135,290,M
455,2,less than 2 Km,7842,6046,8552,1691,3540,1874,M
456,2,less than 2 Km,4389,10940,10908,848,6728,993,M
457,1,less than 2 Km,5065,5499,11055,364,3485,1063,F
458,2,less than 2 Km,660,8494,18622,133,6740,776,M
459,1,less than 2 Km,8861,3783,2223,633,1580,1521,M
460,1,less than 2 Km,4456,5266,13227,25,6818,1393,F
461,2,less than 2 Km,17063,4847,9053,1031,3415,1784,M
462,1,less than 2 Km,26400,1377,4172,830,948,1218,M
463,2,less than 2 Km,17565,3686,4657,1059,1803,668,F
464,2,less than 2 Km,16980,2884,12232,874,3213,249,M
465,1,less than 2 Km,11243,2408,2593,15348,108,1886,M
466,1,less than 2 Km,13134,9347,14316,3141,5079,1894,F
467,1,less than 2 Km,31012,16687,5429,15082,439,1163,M
468,1,less than 2 Km,3047,5970,4910,2198,850,317,M
469,1,less than 2 Km,8607,1750,3580,47,84,2501,M
470,1,less than 2 Km,3097,4230,16483,575,241,2080,F
471,1,less than 2 Km,8533,5506,5160,13486,1377,1498,M
472,1,less than 2 Km,21117,1162,4754,269,1328,395,M
473,1,less than 2 Km,1982,3218,1493,1541,356,1449,F
474,1,less than 2 Km,16731,3922,7994,688,2371,838,M
475,1,less than 2 Km,29703,12051,16027,13135,182,2204,M
476,1,less than 2 Km,39228,1431,764,4510,93,2346,M
477,2,less than 2 Km,14531,15488,30243,437,14841,1867,F
478,1,less than 2 Km,10290,1981,2232,1038,168,2125,M
479,1,less than 2 Km,2787,1698,2510,65,477,52,M
